time,city,nearest_big_city
2013.615385,Bankura,Paschim Barddhaman
2013.653846,Bankura,Paschim Barddhaman
2013.692308,Bankura,Paschim Barddhaman
2013.730769,Bankura,Paschim Barddhaman
2013.769231,Bankura,Paschim Barddhaman
2013.807692,Bankura,Paschim Barddhaman
2013.846154,Bankura,Paschim Barddhaman
2013.884615,Bankura,Paschim Barddhaman
2013.923077,Bankura,Paschim Barddhaman
2013.961538,Bankura,Paschim Barddhaman
2014,Bankura,Paschim Barddhaman
2014.038462,Bankura,Paschim Barddhaman
2014.076923,Bankura,Paschim Barddhaman
2014.115385,Bankura,Paschim Barddhaman
2014.153846,Bankura,Paschim Barddhaman
2014.192308,Bankura,Paschim Barddhaman
2014.230769,Bankura,Paschim Barddhaman
2014.269231,Bankura,Paschim Barddhaman
2014.307692,Bankura,Paschim Barddhaman
2014.346154,Bankura,Paschim Barddhaman
2014.384615,Bankura,Paschim Barddhaman
2014.423077,Bankura,Paschim Barddhaman
2014.461538,Bankura,Paschim Barddhaman
2014.5,Bankura,Paschim Barddhaman
2014.538462,Bankura,Paschim Barddhaman
2014.576923,Bankura,Paschim Barddhaman
2014.615385,Bankura,Paschim Barddhaman
2014.653846,Bankura,Paschim Barddhaman
2014.692308,Bankura,Paschim Barddhaman
2014.730769,Bankura,Paschim Barddhaman
2014.769231,Bankura,Paschim Barddhaman
2014.807692,Bankura,Paschim Barddhaman
2014.846154,Bankura,Paschim Barddhaman
2014.884615,Bankura,Paschim Barddhaman
2014.923077,Bankura,Paschim Barddhaman
2014.961538,Bankura,Paschim Barddhaman
2015,Bankura,Paschim Barddhaman
2015.038462,Bankura,Paschim Barddhaman
2015.076923,Bankura,Paschim Barddhaman
2015.115385,Bankura,Paschim Barddhaman
2015.153846,Bankura,Paschim Barddhaman
2015.192308,Bankura,Paschim Barddhaman
2015.230769,Bankura,Paschim Barddhaman
2015.269231,Bankura,Paschim Barddhaman
2015.307692,Bankura,Paschim Barddhaman
2015.346154,Bankura,Paschim Barddhaman
2015.384615,Bankura,Paschim Barddhaman
2015.423077,Bankura,Paschim Barddhaman
2015.461538,Bankura,Paschim Barddhaman
2015.5,Bankura,Paschim Barddhaman
2015.538462,Bankura,Paschim Barddhaman
2015.576923,Bankura,Paschim Barddhaman
2015.615385,Bankura,Paschim Barddhaman
2015.653846,Bankura,Paschim Barddhaman
2015.692308,Bankura,Paschim Barddhaman
2015.730769,Bankura,Paschim Barddhaman
2015.769231,Bankura,Paschim Barddhaman
2015.807692,Bankura,Paschim Barddhaman
2015.846154,Bankura,Paschim Barddhaman
2015.884615,Bankura,Paschim Barddhaman
2015.923077,Bankura,Paschim Barddhaman
2015.961538,Bankura,Paschim Barddhaman
2016,Bankura,Paschim Barddhaman
2016.038462,Bankura,Paschim Barddhaman
2016.076923,Bankura,Paschim Barddhaman
2016.115385,Bankura,Paschim Barddhaman
2016.153846,Bankura,Paschim Barddhaman
2016.192308,Bankura,Paschim Barddhaman
2016.230769,Bankura,Paschim Barddhaman
2016.269231,Bankura,Paschim Barddhaman
2016.307692,Bankura,Paschim Barddhaman
2016.346154,Bankura,Paschim Barddhaman
2016.384615,Bankura,Paschim Barddhaman
2016.423077,Bankura,Paschim Barddhaman
2016.461538,Bankura,Paschim Barddhaman
2016.5,Bankura,Paschim Barddhaman
2016.538462,Bankura,Paschim Barddhaman
2016.576923,Bankura,Paschim Barddhaman
2016.615385,Bankura,Paschim Barddhaman
2016.653846,Bankura,Paschim Barddhaman
2016.692308,Bankura,Paschim Barddhaman
2016.730769,Bankura,Paschim Barddhaman
2016.769231,Bankura,Paschim Barddhaman
2016.807692,Bankura,Paschim Barddhaman
2016.846154,Bankura,Paschim Barddhaman
2016.884615,Bankura,Paschim Barddhaman
2016.923077,Bankura,Paschim Barddhaman
2016.961538,Bankura,Paschim Barddhaman
2017,Bankura,Paschim Barddhaman
2017.038462,Bankura,Paschim Barddhaman
2017.076923,Bankura,Paschim Barddhaman
2017.115385,Bankura,Paschim Barddhaman
2017.153846,Bankura,Paschim Barddhaman
2017.192308,Bankura,Paschim Barddhaman
2017.230769,Bankura,Paschim Barddhaman
2017.269231,Bankura,Paschim Barddhaman
2017.307692,Bankura,Paschim Barddhaman
2017.346154,Bankura,Paschim Barddhaman
2017.384615,Bankura,Paschim Barddhaman
2017.423077,Bankura,Paschim Barddhaman
2017.461538,Bankura,Paschim Barddhaman
2017.5,Bankura,Paschim Barddhaman
2017.538462,Bankura,Paschim Barddhaman
2017.576923,Bankura,Paschim Barddhaman
2017.615385,Bankura,Paschim Barddhaman
2017.653846,Bankura,Paschim Barddhaman
2017.692308,Bankura,Paschim Barddhaman
2017.730769,Bankura,Paschim Barddhaman
2017.769231,Bankura,Paschim Barddhaman
2017.807692,Bankura,Paschim Barddhaman
2017.846154,Bankura,Paschim Barddhaman
2017.884615,Bankura,Paschim Barddhaman
2017.923077,Bankura,Paschim Barddhaman
2017.961538,Bankura,Paschim Barddhaman
2018,Bankura,Paschim Barddhaman
2018.038462,Bankura,Paschim Barddhaman
2018.076923,Bankura,Paschim Barddhaman
2018.115385,Bankura,Paschim Barddhaman
2018.153846,Bankura,Paschim Barddhaman
2018.192308,Bankura,Paschim Barddhaman
2018.230769,Bankura,Paschim Barddhaman
2018.269231,Bankura,Paschim Barddhaman
2018.307692,Bankura,Paschim Barddhaman
