,Bankura,Barddhaman,Birbhum,Dakshin Dinajpur,Darjiling,Haora,Hugli,Jalpaiguri,Koch Bihar,Kolkata,Maldah,Murshidabad,Nadia,North Twenty Four Parganas,Paschim Medinipur,Purba Medinipur,Puruliya,South Twenty Four Parganas,Uttar Dinajpur
Long,87.1357476,87.55377626,87.66299921,88.5751569,88.2629862,88.06364247,88.07230981,88.76085825,89.3459882,88.34380873,88.08874511,88.2289568,88.51680994,88.73065252,87.41728276,87.77185484,86.42131221,88.53521207,88.1570858
Lat,23.13903016,23.510544995,23.95431693,25.36723443,26.85306086,22.52370441,22.88361778,26.68128321,26.29182395,22.55851699,25.14195251,24.17049592,23.47807192,22.72665738,22.43874394,22.03131244,23.27703961,22.06252383,25.88780396
